"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"59","Wind","Faroe Islands","Denmark","A Vestas wind turbine was damaged on Monday due to strong wind conditions on the Faroe Islands","http://www.metal-supply.com/article/view/74793/another_accident_hits_vestas","2012","1","9","Vestas","Vestas","UNKNOWN","27000","0","0","January 9, 2012","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","metal-supply.com","Another accident hits Vestas"
"60","Wind","Wyoming","USA","A transformer failed at the base of a wind turbine","http://www.northern-times.co.uk/News/Controversial-wind-turbines-blade-crashes-to-ground-7506746.htm","2012","1","16","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","January 16, 2012","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","windaction.org","Officials investigating turbine fire "
"61","Wind","Paris","France","A 46-metre blade has fallen off a Repower 2MW turbine at a project alongside the A10 motorway in France.","http://www.windpowermonthly.com/news/1133579/Blade-snaps-off-Repower-2MW-motorway-turbine/?DCMP=ILC-SEARCH","2012","5","18","Repower 2000 KW","Repower","2000","52000","0","0","May 18, 2012","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Blade snaps off Repower 2MW motorway turbine"
"62","Wind","Paulding County, Ohio","USA","Vestas has concluded that the root cause of the failure of the initial blade was due to a wrinkle in the carbon fiber of the spar (the support structure of the blade)","http://timesbulletin.com/main.asp?SectionID=2&SubSectionID=4&ArticleID=173854","2012","4","24","Vestas 1800 KW","Vestas","1800","54000","0","0","April 24, 2012","UNKNOWN","0","0","0","0","0","0","Blade","Mechanical","Mechanical","Google","Times Bulletin","Broken turbine blade problem found"
"63","Wind","Weymouth","UK","A 50ft micro wind turbine was toppled because of 55mph gusts in the middle of the night.","http://www.thesun.co.uk/sol/homepage/news/scottishnews/2903276/Mystery-over-broken-blade-shuts-Scottish-windfarm.html","2010","7","UNKNOWN","Siemens 2300 KW","Siemens","2300 KW","539000 KW","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","thesun.co.uk","Gone with the wind"
"64","Wind","Kenedy County, Texas","USA","A falling section of a lattice tower used for wind measurements caused the death of a contract worker on Sunday at a Kenedy County wind farm, his employer said Tuesday.","http://www.caller.com/news/2008/nov/11/wind-farm-death-caused-lattice-tower-employer-said/?partner=RSS","2008","11","9","Mitsubishi 2400 KW","Mitsubishi","2400 KW","404000 KW","0","0","November 9, 2008","Death","1","0","0","0","1","0","Tower","Mechanical (falling section of tower)","Mechanical","Google","caller.com","Section of falling tower causes death"
"65","Wind","Crofton Bluffs, Nebraska","USA","The fire was put out and no one was injured, according to a statement from the owner, Edison Mission Energy in Nebraska.  ","http://journalstar.com/news/state-and-regional/nebraska/wind-turbine-catches-fire-at-crofton-bluffs-wind-farm/article_e23fa77a-1dfc-5395-b757-f32af2e83af6.html","2012","10","24","Vestas 1800 KW","Vestas","1800","UNKNOWN","0","0","October 24, 2012","Fire","0","1","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","journalstar.com","Wind turbine catches fire at Crofton Bluffs wind farm"
"66","Wind","Cowley Ridge","Canada","Technicians dispatched to the scene from TransAlta’s Pincher Creek maintenance depot discovered that one of the three black fibreglass blades had broken off while the turbine was generating power.","http://www.wind-watch.org/news/2012/03/07/cowley-ridge-wind-farm-shut-down/","2012","3","2","Kenetech 375 KW","Kenetech","375 KW","21500 KW","0","0","March 2, 2012","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","Google","National Windwatch","Cowley Ridge wind farm shut down"
"67","Wind","Wonthaggi","USA","The wind turbine model on which a 40m rotor blade snapped near Wonthaggi on the Mornington Peninsula this week has a history of failure in the US.","http://www.theaustralian.com.au/news/nation/worries-at-victorian-wind-farm-after-rotor-blade-snaps/story-e6frg6nf-1226308666686","2012","3","24","Suzlon MM82 2050 KW","Suzlon","2050","12000 KW","0","0","March 24, 2012","Structural break","0","0","0","0","1","0","Blade","Nature (lightening strike)","Nature","Google","The Australian","Worries at Victorian wind farm after rotor blade snaps "
"68","Wind","Warnambool","Australia","A worker at the Macarthur wind farm, north of Warrnambool, in south-western Victoria, has been crushed in an industrial accident.","http://www.abc.net.au/news/2012-04-02/victorian-man-crushed-by-wind-turbine/3928104","2012","4","UNKNOWN","Vestas 3000 KW","Vestas","3000 KW","420000 KW","0","0","UNKNOWN","Injury","0","0","1","0","0","0","Blade","UNKNOWN","UNKNOWN","Google","ABC","Victorian man injured on wind farm "
"69","Wind","Driftwood Lane","USA","68 tonne wind tower section reported rolled off the trailer onto the sidewalk on Pueblo Boulvard","http://www.wind-watch.org/news/2012/05/02/wind-turbine-falls-from-truck-pueblo-blvd-traffic-slows/","2012","5","1","UNKNOWN","Vestas","UNKNOWN","UNKNOWN","0","0","May 1, 2012","Transportation accident","0","0","0","0","1","1","Tower","Human","Human","Google","The Pueblo Chieftain","Wind turbine falls from truck; Pueblo Blvd. traffic slows"
"70","Wind","Iowa","USA","A wind turbine near Grafton caught fire Tuesday afternoon. The flames were pretty strong for a while as the smoke streamed from the tower. Fire crews didn't get too close at first because of burning debris falling down.","http://nawindpower.com/e107_plugins/content/content.php?content.9883#.UPrs0R001-s","2012","5","22","Gamesa 2000 KW","Gamesa","2000","160000 KW","0","0","May 22, 2012","Fire","0","1","0","0","0","0","Nacelle","UNKNOWN","UNKNOWN","Google","nawindpower.com","Another Wind Turbine Blaze: Fire Breaks Out At Iowa Wind Farm"
"71","Wind","Winnebago County, Illinois","USA","A wind farm worker is okay following a crane accident Sunday morning. A Winnebago County Sheriff's report confirms Billy Cody was trapped in a crane at the construction site located between Forest City and Thompson.","http://www.windaction.org/news/18957","2008","11","23","Gamesa 2000 KW","Gamesa","2000","20000","0","0","November 23, 2008","Injury","0","0","1","0","0","0","Crane","UNKNOWN","UNKNOWN","Google","windaction.org","Worker OK following wind farm accident"
"72","Wind","Peterborough, England","UK","Residents were left fearing for their safety after shards of melting ice fell on homes and gardens from the blades of a giant wind turbine.","http://www.peterboroughtoday.co.uk/news/environment/wind-turbine-s-deadly-ice-shower-1-120837","2008","11","29","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","November 29, 2008","Ice throw","0","0","0","0","1","0","Blade","Nature (cold)","Nature","Google","peterboroughtoday.co.uk","Wind turbine's deadly ice shower"
"73","Wind","Earlsburn","UK","A teenage windfarm worker died after plunging 100 feet down the inside of a turbine, it was revealed last night. The 19-year-old is believed to have fallen from near the top of the shaft.","http://www.thefreelibrary.com/WORKER+DIES+IN+FALL+FROM+WIND+TURBINE%3B+Teenager%27s+100ft+plunge+inside...-a0163843153","2007","5","22","Nordex 2500 KW","Nordex","2500","37500","0","1","May 22, 2007","Death","1","0","0","0","0","0","Tower","Human","Human","Google","thefreelibrary.com","Worker dies in fall from wind turbine; teenager's 100 ft  plunge inside shaft"
"74","Wind","Michigan","USA","Crews are working to remove a tractor-trailer hauling a wind turbine from a ditch in Riley Township.","https://www.wind-watch.org/news/2012/09/20/m-19-blocked-by-wind-turbine/","2012","9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","UNKNOWN","Transportation accident","0","0","0","0","1","1","UNKNOWN","Human (transportation)","Human","Google","wind-watch.org","M-19 blocked by wind turbine   "
"75","Wind","Minnesota","USA","Smoke pours from the top and bottom of one of the wind turbines at the Ewington Wind Farm near the Heron Lake exit north of Interstate 90 Wednesday (Mar 26) morning. The Brewster and Okabena Fire Departments responded to the scene, but upon the advice of Suzlon Wind Energy officials, the fire was allowed to burn itself out.","https://www.wind-watch.org/newsarchive/2008/03/28/wind-turbine-fire/","2008","3","26","Suzlon 2100 KW","Suzlon","2100","21000","0","0","March 26, 2008","Fire","0","1","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","windaction.org","Turbine burns at Ewington wind farm"
"76","Wind","Arkansas","USA","A leak of flammable liquid from a drum caused a fire, resulting in evacuation of the workforce. The plant makes turbine blades.","http://www.fox16.com/news/local/story/Fire-at-LM-Wind-Power-forces-evacuation-of-75/IJXmkFveskOqIE-Gm2Ui4Q.cspx?rss=315","2011","7","27","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","July 27, 2011","Fire","0","1","0","0","0","0","Blade","Human (leak of flammable liquid)","Human","Google","fox16.com","Fire at LM Wind Power forces evacuation of 75"
"77","Wind","Missaukee County, Michigan","USA","Fire reported at wind turbine near McBain.","http://www.windaction.org/news/32655","2011","3","8","LM Wind Power","LM Wind Power","UNKNOWN","UNKNOWN","0","0","March 8, 2011","Fire","0","1","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","windaction.org","McBain wind turbine catches fire"
"78","Wind","Lancashire","UK","49-year old Lindsay Easton died after his crane left a hillside road while in convoy with other vehicles","http://menmedia.co.uk/manchestereveningnews/news/s/1455739_driver-who-died-after-130-tonne-crane-crashes-near-scout-moor-wind-farm-is-named","2011","8","16","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","August 16, 2011","Death","1","0","0","0","0","0","UNKNOWN","Human (transportation)","Human","Google","Manchester Evening News","Driver who died after 130-tonne crane crashes near Scout Moor wind farm is named"
"79","Wind","Lincolnshire","USA","A 65 ft blade that flew off the turbine came loose after bolts attaching it to the hub failed. after weeks of analysis the turbine manufacturer Enercon has released an interim report identifying material fatigue as the cause of the accident.","http://www.telegraph.co.uk/news/newstopics/howaboutthat/4578998/UFO-wind-turbine-broke-due-to-mechanical-failure-not-collision-with-flying-object.html","2009","1","UNKNOWN","Enercon 2000 KW","Enercon","2000 KW","66000 KW","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Bolt","Mechanical (material fatigue)","Mechanical","Google","The Telegraph","UFO wind turbine 'broke due to mechanical failure not collision with flying object' "
"80","Wind","North Ayrshire,Scotland","UK","The turbine was destroyed as the region was battered by winds of up to 260km/h when a ferocious Atlantic storm powered into northern parts of the UK.","http://www.newscientist.com/blogs/onepercent/2011/12/why-did-a-wind-turbine-self-co.html","2011","12","8","Vestas","Vestas","UNKNOWN","UNKNOWN","0","0","UNKNOWN","Fire & Structural break","0","1","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","New Scientist","Why did a Scottish wind turbine explode in high winds?"
"81","Wind","Merimbula","Australia","The Weekend Australian of March 24-25 reports that a wind turbine blade shattered in moderate wind conditions, flinging large pieces of debris over a wide area. A representative of the wind farm operator is reported as being mystified as to the cause of the accident and saying that the turbine blades were high quality and made by a leading Danish company. Locals called for the wind farm to be closed pending an investigation.","http://www.merimbulanewsonline.com.au/story/188099/wind-turbine-accidents-and-the-threat-to-local-workers/","2011","12","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","Merimbula News","Wind turbine accidents and the threat to local workers   "
"82","Wind","UNKNOWN","Germany","A serious crane accident in Northern Germany involving the dropping of a large turbine rotor has been reported. The accident involved a 1,200 tonne Liebherr LTM11200-9.1 erecting a large wind turbine. Local news stations say that a violent and unexpected gust of wind caused the rotor to take- off pulling the crane's boom and Jib with it, causing it to collapse. The boom, jib and rotor with its blades came crashing to the ground. ","http://www.vertikal.net/en/news/story/9696/","2010","3","5","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","March 5, 2010","Structural break","0","0","0","0","1","0","Crane","Human (transportation)","Human","Google","Vertikal.net","Wind turbine accident in Germany"
"83","Wind","Hesket Newmarket","UK","A six-year-old Vestas V47 turbine toppled at Scottish Power's Beinn an Tuirc windfarm at Kintyre on November 8. The 200ft mast bent in half and crumpled to the ground after being hit by a 50mph gust.","http://www.off-grid.net/2008/01/15/vestas-turbine-collapse/","2008","12","28","Vestas 660 KW","Vestas","660","UNKNOWN","0","0","December 28, 2008","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","Off Grid","Vestas Turbine collapse"
"84","Wind","Belgrave","UK","A three-year-old boy was killed in accident north of London, Ont., Saturday evening when the pole of a small wind turbine fell on him.","http://www.torontosun.com/news/canada/2010/07/11/14678101.html","2011","7","9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","July 9, 2011","Death","1","0","0","0","1","0","Generator","Human","Human","Google","Toronto Sun","Boy dies in freak accident with wind turbine"
"85","Wind","Cornwall","UK","Gorran Primary School on the Roseland, has secured more than £50,000 from different agencies to carry out the work on the 15m (49ft) high turbine. On the afternoon of Friday, November 13, the school was advised to turn on the brakes to stop the turbine, but the brakes failed, causing two blades to detach in the early hours of Saturday morning.","http://wattsupwiththat.com/2011/10/06/wind-turbine-fail-school-left-holding-the-bag-for-53000/","2009","11","13","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 13, 2009","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","The Newquay Voice","Wind turbine FAIL – school left holding the bag for £53,000"
"86","Wind","Xinjiang","China","The 1.5MW turbine installed in northwest Xinjiang province was undergoing commissioning when a freak pick-up in wind speed sent the turbine to the ground.","http://www.rechargenews.com/energy/wind/article322729.ece","2012","UNKNOWN","UNKNOWN","1500 KW","UNKNOWN","1500","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","Rechargenews.com","Turbine collapse kills one, injures three at Chinese wind farm"
"87","Wind","Oregon","USA","A giant wind turbine tower collapsed Saturday in Eastern Oregon, causing a worker to fall to his death and another man to be injured. The worker killed in the incident was at the top of a turbine tower when the support column holding the turbine buckled about halfway up and toppled over. The injured man was inside of the tower at the time while the third worker, who escaped injury, was at the base.","http://www.katu.com/news/local/9383316.html","2007","8","25","Siemens 1500 KW","Siemens","1500","UNKNOWN","","","August 25, 2012","Death & Injury","1","0","1","0","1","0","Tower","Mechanical","Mechanical","Google","katu.com","Man killed when wind tower collapses"
"88","Wind","Otterburn","UK","A giant transporter carrying wind turbine components has closed a Northumberland road after crashing into a ditch. 
The surface of the A696 south of Otterburn was damaged as the turbine parts tumbled off the vehicle and on to adjoining land. It is believed the wheels had clipped the kerb just north of Ottercopse, toppling the transporter into the ditch.","http://www.journallive.co.uk/north-east-news/todays-news/2012/05/29/a696-near-otterburn-closed-after-turbine-transporter-crash-61634-31065091/","2012","5","28","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 28, 2012","Transportation accident","0","0","0","0","0","1","Tower","Human (transportation)","Human","Google","Journaville.co.uk","A696 near Otterburn closed after turbine transporter crash"
"89","Wind","Emden","Germany","A total of three men, including a Polish worker and a Swedish diver have already lost their lives whilst working on offshore wind farms 120 kilometres off the East Frisian coast near Emden","http://notrickszone.com/2012/04/22/killer-offshore-north-sea-windparks-3-dead-80-serious-accidents-more-have-died/","2012","4","22","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","April 22, 2012","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","notrickszone.com","Killer Offshore Windparks – 3 Dead, 80 Serious Accidents “…More Have Died”"
"90","Wind","Illinois","USA","The technician suffered third-degree burns to his neck, chest and arms and second-degree facial burns in the Oct. 20 accident at the Iberdrola Streator Cayuga Ridge South Wind Farm near Odell, Ill., the Labor Department said.","http://www.isssource.com/wind-farm-safety-incident-brings-fine/","2011","10","20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 20, 2011","Injury","0","0","1","0","0","0","Tower","Human (negligance)","Human","Google","isssource.com","Wind Farm Safety Incident Brings Fine"
"91","Wind","Synder, Texas","USA","According to those at the scene, the worker, who has not been identified, had a crushed hand and was still at the top of the tower when crews arrived.","http://bigcountryhomepage.com/fulltext?nxd_id=490962","2012","4","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Injury","0","0","1","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","bigcountryhomepage.com","Worker Injured in Wind Turbine Accident"
"92","Wind","Portland","Australia","A 25-year old Portland electrician was injured after a three kilogram object fell on his head from 15 metres while working inside a wind turbine at Macarthur this morning.","http://www.spec.com.au/blog/2012/07/20/update-portland-electrician-airlifted-after-wind-turbine-incident/","2012","7","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Injury","0","0","1","0","0","0","Tower","Structural (falling object)","Structural","Google","spec.com.au","Portland electrician airlifted after wind turbine incident "
"93","Wind","Winnebago County, Illinois","USA","A man injured in a 60-foot fall while working on a wind turbine in November 2009 in Winnebago County has filed a lawsuit against the corporation that made the safety equipment he was using at the time. The lawsuit states when a worker is moving up and down a wind turbine ladder, the clips on the lanyard are to be attached to a harness and a cable sleeve to act as a brake to stop the worker during a fall to prevent injury. When Flack attempted to descend the ladder in the interior of the windmill tower, he lost his footing and slipped, falling about 60 feet and sustaining permanent and serious injuries, according to the lawsuit.","http://globegazette.com/news/local/cf956b6e-3ca6-11e1-b694-001871e3ce6c.html","2009","11","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 6, 2009","Injury","0","0","1","0","0","0","Tower","Human (negligance)","Human","Google","globegazzette.com","Federal lawsuit filed in Winnebago County wind turbine accident"
"94","Wind","Starke County, Indiana","USA","A semi hauling a wind turbine propeller was leaving the Grovertown Truck Stop to go east on US 30 and the load was completely across the westbound lanes and partially across the eastbound lanes of US 30. A westbound passenger car failed to see the semi pulling out onto the highway and drover under the semi-trailer that was carrying the propeller.The occupant of the passenger car died from the injuries he sustained in the crash.","http://am1050.com/2012/1-dead-in-us-30-crash-with-wind-turbine-propeller/","2012","9","27","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","September 27, 2012","Death","1","0","0","0","0","0","Rotor","Human (transportation)","Human","Google","am1050.com","1 Dead in US 30 Crash with Wind Turbine Propeller"
"95","Wind","Gansu","China","on the Feb.24 Gansu Jiuquan wind farm massive grid disconnection accident, they called it China’s largest and most severely affecting the power grid wind power accident in the last few years. CNB Daily learned during their research that the accident was caused by “low voltage ride through capability” failure and power grid development falling behind new energies development. ","http://deblockconsulting.com/blog/china-news/chinese-wind-farm-power-grid-disconnection-accident/","UNKNOWN","2","24","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Power grid","Mechanical (low voltage ride through capability)","Mechanical","Google","deblockconsulting.com","Chinese wind farm power grid disconnection accident"
"96","Wind","Huddersfield","UK","The damage occurred on Thursday night when, according to the Met Office wind speeds near Huddersfield peaked at 77mph during fierce storms which felled trees, tore off roof tiles and damaged power cables.","http://www.dailymail.co.uk/news/article-2083149/Wind-turbines-cope-UK-weather-3-blown-pieces.html","2012","1","5","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","January 5, 2012","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","Daily Mail","Wrecked by gales again as windfarms get £300,000 to switch off...in high winds"
"97","Wind","Tuokexun","China","A Ming Yang 1.5MW wind turbine collapsed in the course of commissioning, killing one and injuring three, on September 5 in north-west China's Xinjiang province. Ming Yang said that according to preliminary analysis, the tower fell because the foundation bolts were not properly fastened in the course of turbine installation.","http://www.windpowermonthly.com/news/rss/1149772/Ming-Yang-turbine-collapse-kills-one-injures-three/","2012","9","5","Ming Yang 1500 KW","Ming Yang","1500","UNKNOWN","","","September 5, 2012","Death & Injury","1","0","1","0","1","0","Tower","Mechanical (not properly secured foundation bolts)","Mechanical","Google","windpowermonthly.com","Ming Yang turbine collapse kills one, injures three"
"98","Wind","Irasburg, Vermont","USA","A trailer carrying a 115,000 pound base column for a wind turbine detached from the truck hauling it and rolled off Interstate 91 Southbound in Irasburg near the Orleans exit.","http://www.wcax.com/story/19069197/truck-carrying-wind-turbine-tips-on-i-91","2012","7","20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","July 20, 2012","Structural break & Transportation accident ","0","0","0","0","1","1","Tower","Human (transportation)","Human","Google","wcax.com","Truck carrying wind turbine tips on I-91"
"99","Wind","Dubuque, Illinois","USA","No one was injured in the crash between two semi-tractor trailers this morning that caused more than $275,000 damage to a wind turbine propeller and restricted traffic for more than two hours.","http://www.thonline.com/news/breaking/article_fe7deb6c-c8d5-11e0-9ab6-001a4bcf6878.html","2011","8","17","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 17, 2011","Structural break & Transportation accident ","0","0","0","0","1","1","Blade","Human (transportation)","Human","Google","thonline.com","Accident involving wind turbine blade causes $275,000 damage"
"100","Wind","Minnesota","USA","A 29-year-old male rigger (victim) died after falling between 20-40 feet during wind turbine tower construction. He was wearing, but not using, a safety belt and lanyard at the time of the incident. ","http://www.cdc.gov/Niosh/FACE/stateface/mn/94mn013.html","1994","3","3","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","March 3, 1994","Death","1","0","0","0","0","0","Tower","Human (negligance)","Human","Google","cdv.gov","Construction Worker Dies After Falling From a Wind Turbine Tower"
"101","Wind","North Dakota","USA","An axle on a trailer carrying a tower for a wind turbine collapsed and caused a traffic snarl in West Fargo. The incident began when one of six axles on the trailer collapsed, landing part of the tower section on the road.","http://www.windaction.org/news/26896","2010","4","22","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","April 22, 2010","Structural break & Transportation accident ","0","0","0","0","1","1","Tower","Human (transportation)","Human","Google","windaction.org","Wind turbine accident snarls traffic in West Fargo "
"102","Wind","Crete","Greece","Vulture accident in southern Crete. People collected the wounded animal and took it to hospital where it was diagnosed with a broken wing and a limp. ","http://savetheeaglesinternational.org/459-2.html","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Bird injury","0","0","1","0","0","0","Blade","Mechanical (due to collision)","Mechanical","Google","savetheeaglesinternationa.org","Vulture accident in southern Crete"
"103","Wind","Indiana","USA","An Ivy Tech Community College faculty member died Wednesday after he fell from a tower on the Lafayette campus. Craig Porter, 36, was on the tower around 12 p.m. conducting a ""rating exercise"" with students when he fell between 60-70 feet.","http://www.fox59.com/news/wxin-ivy-tech-ivy-tech-faculty-member-dies-after-fall-from-wind-turbine-20111102,0,7431080.column","2011","11","2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 2, 2011","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","fox59.com","Ivy Tech faculty member dies after fall from tower"
"104","Wind","Baker City, Oregon","USA","A commercial truck trailer transporting a wind turbine base hit an embankment and crashed into the Burnt River on Interstate 84 just east of Baker City Saturday, police said.","http://www.kgw.com/news/Semi-carrying-windmill-base-crashes-in-I-84-173041461.html","2012","10","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 6, 2012","Transportation accident","0","0","0","0","0","1","Tower","Human (transportation)","Human","Google","kgw.com","Semi hauling wind turbine base goes into river"
"105","Wind","Island of Texel","Netherlands","A turbine crashed on the island of Texel (North of Holland).","http://tech.groups.yahoo.com/group/truth_about_wind/message/1780","2008","2","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","February 6, 2008","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","Yahoo Groups","HOLLAND - wind turbine accident in marina"
"106","Wind","Waterhouse Road","Australia","A wind turbine component fell from the back of a truck during transportation to the Musselroe Wind Farm site overnight.","http://www.examiner.com.au/story/301050/wind-turbine-part-falls-on-to-roadway/","2012","9","4","Vestas 3000 KW","Vestas","3000","168000","","","September 4, 2012","Transportation accident","0","0","0","0","0","1","Tower","Human (transportation)","Human","Google","examiner.com.au","Wind turbine part falls on the roadway"
"107","Wind","South Dakota","USA","Stephen C. McAdams, 40, was killed Friday afternoon at a construction site about six miles northeast of Kimball, S.D., according to Lt. Alan Welsh with the South Dakota Highway Patrol. McAdams was standing next to a pickup truck and talking to an occupant inside when he was trapped by a tractor-trailer trying to maneuver around the truck, Welsh said. The driver of the tractor-trailer turned too sharply and its flatbed trailer loaded with rebar trapped McAdams against the truck and then ran him over","http://www.wind-watch.org/news/2010/10/14/wrightsville-man-killed-in-accident-at-south-dakota-construction-site/","2010","10","8","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 8, 2010","Death","1","0","0","0","0","0","UNKNOWN","Human (negligance)","Human","Google","wind-watch.org","Wrightsville man killed in accident at South Dakota construction site   "
"108","Wind","Ontario","Canada","The diesel fuel spilled into Lake Ontario near Wolfe Island around 9:30 a.m. Wednesday from a boat carrying equipment for a controversial wind turbine project.","http://www.cbc.ca/news/canada/ottawa/story/2008/10/02/ot-wind-081002.html","2008","10","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 1, 2008","Transportation accident","0","0","0","0","1","1","UNKNOWN","Human","Human","Google","CBC","Wind project ship spills fuel near Wolfe Island"
"109","Wind","North Wales","UK","The 3.6 MW wind turbines arrive at Mostyn harbour, North Wales, directly by barge from Esbjerg, Denmark. The main tower is assembled first, followed by the turbine nacelle, hub and finally the three blades are fitted. It is thought that the incident involved one of the 80 tonne, 25 metre turbine top towers which was dropped during lifting.","http://www.vertikal.net/en/news/story/12541/","2011","3","7","3600 KW","UNKNOWN","3600","367000","","","March 7, 2011","Structural break","0","0","0","0","1","0","Tower","Mechanical","Mechanical","Google","Vertikal.net","Lifting incident at Mostyn Port"
"110","Wind","Faula,Scotland","UK","An all-night black-out has had to be brought into force for the 22 homes on the isolated Shetland community, because of problems in the island's £1.5 million hydro and solar power schemes. Foula's three wind turbines have been out of action since Christmas, when 100mph winds damaged the blades ...Now islanders are back to relying on costly diesel generator until the faults can be rectified. ","http://www.scotsman.com/news/environment/green-isle-forced-to-revert-to-diesel-1-2261777","2012","4","28","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","April 28, 2012","Mechanical","0","0","0","0","0","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Green isle forced to revert to diesel"
"111","Wind","Minnesota","USA","Lightning claimed a “victim” Wednesday in rural Lake Benton, hitting and setting ablaze the blades of a Buffalo Ridge wind turbine","http://www.brookingsregister.com/v2_news_articles.php?heading=0&page=76&story_id=15161","2012","8","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 6, 2012","Structural break","0","0","0","0","1","0","Blade","Nature (lightening strike)","Nature","Google","The Brookings Registers","Fire in the sky"
"112","Wind","North Sea","Germany","A British diver has died during maintenance work at an offshore German wind farm in the North Sea, according to officials.","http://www.timesofmalta.com/articles/view/20120504/world/diver-dies-at-wind-turbine-site.418279","2012","5","4","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 4, 2012","Death","1","0","0","0","0","0","Tower","Human","Human","Google","Times of Malta","Diver dies at wind turbine site"
"113","Wind","Texas","USA","A man working inside a wind turbine in Nolan County when it was struck by lightning Monday was listed in stable condition at a Sweetwater hospital, according to fire officials.","http://www.reporternews.com/news/2012/may/07/man-working-in-turbine-struck-by-lightning-is/?partner=yahoo_feeds","2012","5","7","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 7, 2012","Death","1","0","0","0","1","0","Tower","Nature (lightening strike)","Nature","Google","Reporternews.com","Man working in turbine struck by lightning is hospitalized "
